review_id,review,rating,date,bank,source
f0dd744a-9409-4619-9800-7ea501571b09,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play
3949d8e0-7ac4-4b43-b4f4-a45d6a888a85,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play
36f83ed0-3935-4ebd-98e5-34cf25095d32,best,5,2025-06-04,CBE,Google Play
f2bb4b73-090e-4834-8c89-2263a1158c38,bezabih,5,2025-06-04,CBE,Google Play
54f070b9-895f-40e8-be18-acb16f8af7fa,Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play
aa72fd94-aca8-48b2-bae2-29ad7633c7fb,good,5,2025-06-04,CBE,Google Play
9af95d2a-e42c-45ff-a4c9-5c38765df4a4,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play
067d3e52-3586-4e02-b088-0411f25d34fb,dedeb,5,2025-06-04,CBE,Google Play
88a64315-9de3-4a35-ac27-5ff37c2833b6,good,5,2025-06-04,CBE,Google Play
c2cf0ff7-85ac-4e7c-902d-a8c5a8d69e22,Good,5,2025-06-04,CBE,Google Play
42eed344-f5b7-49be-a7eb-b1c14386e20b,very niec,5,2025-06-04,CBE,Google Play
fce00cda-d71a-486e-a4c2-7479ab7793bc,best app of finance,5,2025-06-04,CBE,Google Play
f543a13e-bc0f-4348-b57f-3a83eb67206c,yetemeta,1,2025-06-03,CBE,Google Play
2470d199-834a-4134-a0f9-8c684ba75491,Engida Kebede Fetera,5,2025-06-03,CBE,Google Play
4beee0dd-05ad-474c-bdff-0146723f2179,good,5,2025-06-03,CBE,Google Play
428e5117-387f-4c9d-b095-3230e3f83a8a,it is not safety,1,2025-06-03,CBE,Google Play
f897e474-f560-4cf9-b66b-48c455443bfe,NICE bank,5,2025-06-03,CBE,Google Play
2f605bab-a62d-4298-bb1d-0b749bc666c4,it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play
90395621-bcb9-4c87-9742-57faa8e345c1,"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play
a6a00b41-127d-4dda-b175-e65b9879dec7,It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play
fae0ea4e-f650-415c-a91a-95b6b3149979,best app,5,2025-06-01,CBE,Google Play
a3290b0c-4569-4ed7-87aa-3a18639b4525,Awesome bank,5,2025-06-01,CBE,Google Play
50ffac9d-437d-4d26-af4f-b6b0153d55fd,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play
0c9b996b-a42e-4500-84fa-1d5eb764f490,Masha alla,5,2025-05-31,CBE,Google Play
